Village	wooster nagar <separator>  wooster nagar is the name of a small fishing village in the state of tamil nadu india dedicated january 3 2007 the village consists of 26 homes built with funds donated by citizens of wooster ohio usa in recognition of these donations the village residents renamed their village wooster nagar nagar is a from sanskrit and means citythe village is located at pudupattinam just inland from the indian ocean coastline an hour south of chennai the capital of tamil nadu
Artist	margaret young <separator>  margaret youngblood  ( born february 23 1891 - may 3 1969 )  better known by her stage name margaret young was an american singer and comedienne who was popular in the 1920s margaret young was born in inglewood california young is best known for her songs hard hearted hannah lovin' sam the sheik of alabam' and way down yonder in new orleans
WrittenWork	smederevska sedmica <separator>  smederevska sedmica  ( serbian cyrillic  Смедеревска Седмица )  was an independent local magazine in serbia published weekly between september 1997 and july 2005 it was the only magazine in smederevo that was independent during the regime of slobodan milošević the magazine slogan was truth at least once a week  ( serbian cyrillic  Истина бар једном седмично ) 
Village	miłaczew kolonia <separator>  miłaczew kolonia [miˈwat͡ʂɛf kɔˈlɔɲa] is a village in the administrative district of gmina malanów within turek county greater poland voivodeship in west-central poland it lies approximately 3 kilometres  ( 2 mi )  south of malanów 12 km  ( 7 mi )  south-west of turek and 114 km  ( 71 mi )  south-east of the regional capital poznań
OfficeHolder	Óscar fanjul <separator>  Óscar fanjul martín  ( santiago 1949 )  is a spanish economist
Educational	vesalius college <separator>  vesalius college also known commonly as veco is a liberal arts college situated in the heart of brussels belgium the college is operated in association with the vrije universiteit brussel it is named after andreas vesalius one of the first and foremost pioneers in the study of anatomy who lived during the renaissance periodthe college was founded in 1987 and offers three-year bachelors degree programs in accordance with the bologna process
Building	skagit river hydroelectric project <separator>  the skagit river hydroelectric project is a series of dams with hydroelectric power-generating stations on the skagit river in northern washington state the project is owned and operated by seattle city light to provide electric power for the city of seattle and surrounding communities
Athlete	stillwell saunooke <separator>  stillwell saunooke was a professional football player who played in the national football league during the 1922 season that season he joined the nfl's oorang indians the indians were a team based in larue ohio composed only of native americans and coached by jim thorpe saunooke attend and played college football at the carlisle indian school located in carlisle pennsylvania and was a cherokee
Transportation	smart crosstown <separator>  the smart crosstown is a concept car developed by daimler ag and first shown to the public at the 2005 frankfurt motor showit is a three-cylinder petrol/electric hybrid based on the smart fortwo it also features a targa-style roof
Company	grandpa's <separator>  grandpa's or grandpa pidgeon's was a discount store founded in 1954 by tom and mildred pidgeon spreading across the midwest from its bridgeton missouri  ( near st louis )  origins which remained truly discount when most others like venture kmart and target gradually raised prices in order to finance a more attractive layout and broader range of merchandise tom pidgeon born in sebring ohio in 1902 was in the low price china business from the early 1930s to the early 1950s
